"nfid","countrycode"
70112728,AR
70084784,AR
70108776,AR
70258568,AR
70056440,AR
70143840,AR
70104312,AR
70171944,AR
70113008,AR
70108992,AR
70218320,AR
70177688,AR
70241792,AR
70109688,AR
70114496,AR
70087520,AR
70213128,AR
70109680,AR
70099112,AR
80025920,AR
70113008,AR
70273368,AR
70087544,AR
70242632,AR
70187744,AR
70252896,AR
70204784,AR
70231704,AR
70106272,AR
70213200,AR
70304192,AR
70097576,AR
70093224,AR
70105600,AR
70136152,AR
70118800,AR
70113000,AR
70095136,AR
70123544,AR
70142432,AR
70265696,AR
70204944,AR
80000600,AR
70058016,AR
70056440,AR
70060008,AR
70140440,AR
70058024,AR
70105600,AR
70103760,AR
80003200,AR
70099120,AR
70103760,AR
70047104,AR
70102568,AR
70117904,AR
70108776,AR
70112368,AR
70060008,AR
70084792,AR
70101344,AR
70143856,AR
70058024,AR
70075480,AR
70143840,AR
70087536,AR
70053832,AR
70101280,AR
70054920,AR
70103520,AR
70060008,AR
70083104,AR
70058032,AR
70103760,AR
70204952,AR
70105600,AR
70110560,AR
70087536,AR
70083112,AR
70090336,AR
70058016,AR
70098504,AR
70113672,AR
70114976,AR
70056448,AR
70077552,AR
70171944,AR
70204984,AR
70106456,AR
70111504,AR
70063584,AR
70111160,AR
70085616,AR
70083808,AR
70101040,AR
70134544,AR
70060000,AR
70096752,AR
70110880,AR
70084192,AR
70117040,AR
70303288,AR
70114464,AR
70111280,AR
70108800,AR
70099792,AR
70155592,AR
70060016,AR
70098608,AR
70098896,AR
70111472,AR
70075480,AR
70112736,AR
70124576,AR
70286904,AR
70098608,AR
70155568,AR
70113296,AR
70180088,AR
80036144,AR
80038296,AR
70100376,AR
80049272,AR
80073432,AR
70084800,AR
70129080,AR
70073016,AR
70053464,AR
70100384,AR
80082160,AR
70077552,AR
70115632,AR
70109248,AR
70242144,AR
80081704,AR
70098896,AR
70108808,AR
70112496,AR
70056424,AR
80109040,AR
70113632,AR
80134528,AR
70118800,AR
70118128,AR
70082640,AR
70109472,AR
70082272,AR
70084408,AR
70128216,AR
80188768,AR
70118376,AR
70109376,AR
70111280,AR
70087088,AR
70089216,AR
70083536,AR
70115624,AR
80235768,AR
70062160,AR
70114592,AR
70123120,AR
70113304,AR
70090032,AR
70125880,AR
70127592,AR
70123120,AR
70123120,AR
70117264,AR
70113304,AR
70123120,AR
70107496,AR
70123120,AR
70100640,AR
70123120,AR
70084776,AR
70068800,AR
70114592,AR
70071832,AR
70109760,AR
70108592,AR
70106272,AR
81030200,AR
70090072,AR
81072752,AR
70123160,AR
70121520,AR
81170688,AR
70254352,AR
70109680,AR
81254576,AR
81254696,AR
81254656,AR
81254672,AR
81254552,AR
81254672,AR
81254584,AR
81254696,AR
70140920,AR
81254504,AR
81254544,AR
81254584,AR
81254704,AR
70153392,AR
70143832,AR
70143832,AR
81254560,AR
70091144,AR
70244568,AR
70111992,AR
81354216,AR
81351464,AR
81424368,AR
81398328,AR
70184624,AR
81450280,AR
81450320,AR
70112480,AR
81386992,AR
81464608,AR
60033312,AR
70044600,AR
70019504,AR
70142408,AR
70180048,AR
60027580,AR
70157344,AR
70204960,AR
60033300,AR
60027688,AR
70204968,AR
70259784,AR
70043944,AR
70044600,AR
70039648,AR
70044592,AR
60004480,AR
70205008,AR
60022060,AR
70043312,AR
60026140,AR
70288472,AR
60031292,AR
70045264,AR
70050480,AR
70063488,AR
60023620,AR
70143440,AR
60026120,AR
70021648,AR
60034572,AR
60029188,AR
70041960,AR
70028904,AR
60029156,AR
60024920,AR
70140360,AR
70140392,AR
70032592,AR
70051328,AR
60023616,AR
